id_prod;nome_produto;id_conc;cidade_produto;cep_produto;endereco_produto;estado_produto;data_produto;tipo_oferta;grande_area;sub_area;pubico_alvo;faixa_peco;duração;maturidade;100% Online;grande_area_legenda;sub_area_legenda
8459;ESM - Programa de Excelência da Gestão - 250 PONTOS;294;;;;;01/01/2022;3;4.0;4.1;2;102000.0;;2.0;Sem Informação;produção;processo produtivo
8463;ESM - Programa Inova Mais - Pro;294;;;;;01/01/2022;3;4.0;4.1;2;86510.0;;3.0;Sem Informação;produção;processo produtivo
8464;ESM - Programa Inova Mais - Junior;294;;;;;01/01/2022;3;4.0;4.1;2;51500.0;;3.0;Sem Informação;produção;processo produtivo
8465;ESM - Programa Inova Mais - Geração Z;294;;;;;01/01/2022;3;4.0;4.1;2;90090.0;;3.0;Sem Informação;produção;processo produtivo
8488;ESM - Rede de experiência no turismo - Técnicas da economia da experiência para inovação em produtos turísticos;294;;;;;01/01/2022;6;4.0;4.1;1;111300.0;;2.0;Sem Informação;produção;processo produtivo
8489;ESM - Menu de atrativos e serviços turísticos - Organização da oferta e lançamento no mercado;294;;;;;01/01/2022;6;4.0;4.2;1;63000.0;;2.0;Sem Informação;produção;processo prestação serviço
8494;ESM - Lean Thinking - Implementação do Lean Manufacturing - Acima 30 funcionários;294;;;;;01/01/2022;6;4.0;4.1;3;80080.0;416.0;4.0;Sem Informação;produção;processo produtivo
8507;ESM - Consultoria para implementação de Bancos Digitais e Fintecs;294;;;;;01/01/2022;6;1.0;1.1;1;132898.26;;2.0;Sem Informação;financeiro;gestão financeira
8519;ESM - LGPD: Privacidade e Proteção de dados pessoais - Até 50 funcionarios;294;;;;;01/01/2022;6;6.0;6.1;3;53000.0;;4.0;Sem Informação;legal jurídica;lgpd
8520;ESM - LGPD: Privacidade e Proteção de dados pessoais - Até 100 funcionarios;294;;;;;01/01/2022;6;6.0;6.1;3;75000.0;;4.0;Sem Informação;legal jurídica;lgpd
8521;ESM - LGPD: Privacidade e Proteção de dados pessoais - Até 150 funcionarios;294;;;;;01/01/2022;6;6.0;6.1;3;95000.0;;4.0;Sem Informação;legal jurídica;lgpd
8522;ESM - LGPD: Privacidade e Proteção de dados pessoais - Até 200 funcionarios;294;;;;;01/01/2022;6;6.0;6.1;3;120000.0;;4.0;Sem Informação;legal jurídica;lgpd
8524;ESM - Projeto Comex SC;294;;;;;01/01/2022;6;2.0;2.6;2;167680.0;;4.0;Sem Informação;mercado;exportação novos mercados
8525;ESM - Icone - Inovação, Controladoria, Negócio e Empreendedorismo;294;;;;;01/01/2022;3;4.0;4.1;2;47200.0;236.0;2.0;Sem Informação;produção;processo produtivo
8531;ESM - Sebrae Capital Empreendedor;294;;;;;01/01/2022;3;4.0;4.1;1;107800.0;;2.0;Sem Informação;produção;processo produtivo
8532;ESM - TXM Business 2;294;;;;;01/01/2022;3;4.0;4.1;1;80000.0;;2.0;Sem Informação;produção;processo produtivo
8538;ESM - Programa de Desenvolvimento de Startups;294;;;;;01/01/2022;3;4.0;4.1;1;433200.0;2220.0;1.0;Sem Informação;produção;processo produtivo
8540;ESM - Desenvolvimento de territórios inovativos;294;;;;;01/01/2022;6;4.0;4.1;1;300000.0;840.0;2.0;Sem Informação;produção;processo produtivo
8544;ESM - Marketing Digital e Redes Sociais para Micro e Pequenas Empresas - 30 participantes;294;;;;;01/01/2022;6;3.0;3.5;1;65868.0;426.0;2.0;Sem Informação;pessoas;estratégia marketing
8558;ESM - JEDI - Jornada de Empreendedorismo Desenvolvimento e Inovação;294;;;;;01/01/2022;3;4.0;4.1;1;50000.0;60.0;2.0;Sem Informação;produção;processo produtivo
8566;ESM - Artesão inovador e competitivo: produtos diferenciados e novo posicionamento de mercado - Desenvolvimento para o Artesanato – Pacote Avançado;294;;;;;01/01/2022;3;3.0;3.5;1;73685.0;;2.0;Sem Informação;pessoas;estratégia marketing
8569;ESM - Desenvolvimento de marcas com identidade cultural - Completo;294;;;;;01/01/2022;3;3.0;3.5;1;139400.0;695.0;2.0;Sem Informação;pessoas;estratégia marketing
8574;ESM - Desenvolvimento de marcas com identidade cultural - Módulo 5;294;;;;;01/01/2022;3;3.0;3.5;1;90000.0;400.0;2.0;Sem Informação;pessoas;estratégia marketing
8596;ESM - Salto Aceleradora On-line;294;;;;;01/01/2022;3;4.0;4.4;1;82000.0;;2.0;Sem Informação;produção;produtividade
8597;ESM - Benchmarking em turismo;294;;;;;01/01/2022;3;4.0;4.1;1;50000.0;;3.0;Sem Informação;produção;processo produtivo
8611;ESM - Voicers Talks & Xperiences: os mapas de transição de hard economy para soft economy;294;;;;;01/01/2022;3;4.0;4.1;1;46000.0;318.0;4.0;Sem Informação;produção;processo produtivo
8621;ESM - Rede de experiência no turismo - Técnicas da economia da experiência para inovação em produtos turísticos;294;;;;;01/01/2022;3;4.0;4.1;1;111300.0;;4.0;Sem Informação;produção;processo produtivo
8623;ESM - Consultoria para implementação de Bancos Digitais e Fintecs;294;;;;;01/01/2022;3;1.0;1.1;1;132898.26;;2.0;Sem Informação;financeiro;gestão financeira
8626;ESM - Projeto Comex SC;294;;;;;01/01/2022;3;2.0;2.6;1;167680.0;;4.0;Sem Informação;mercado;exportação novos mercados
8631;ESM - Marketing Digital e Redes Sociais para Micro e Pequenas Empresas - 30 participantes;294;;;;;01/01/2022;3;3.0;3.5;1;65868.0;426.0;2.0;Sem Informação;pessoas;estratégia marketing
