id_prod;nome_produto;id_conc;cidade_produto;cep_produto;endereco_produto;estado_produto;data_produto;tipo_oferta;grande_area;sub_area;pubico_alvo;faixa_peco;duração;maturidade;100% Online;grande_area_legenda;sub_area_legenda;
1568;Gestão estratégica para comércio eletrônico;294;;;Florianópolis;SC;14/12/2021;1;5.0;5.4;1;Gratuito;3.0;2;Sim;estratégia;processos ti;
1583;Disciplina de empreendedorismo para a educação superior;294;;;Florianópolis;SC;14/12/2021;1;1.0;1.1;1;Gratuito;32.0;2;Sim;financeiro;gestão financeira;
1584;Gestão Financeira;294;;;Florianópolis;SC;15/12/2021;1;1.0;1.1;1;Gratuito;3.0;2;Sim;financeiro;gestão financeira;
1599;Projeto de extensão em empreendedorismo social e negócios de impacto social;294;;;Florianópolis;SC;15/12/2021;1;1.0;1.1;1;Gratuito;24.0;2;Sim;financeiro;gestão financeira;
1600;Palestra Empreendedorismo em dois tempos;294;;;Florianópolis;SC;15/12/2021;1;1.0;1.1;1;Gratuito;2.0;2;Sim;financeiro;gestão financeira;
1601;Aprender a empreender;294;;;Florianópolis;SC;15/12/2021;1;1.0;1.1;1;Gratuito;16.0;2;Sim;financeiro;gestão financeira;
1602;Gestão de Equipe de vendas;294;;;Florianópolis;SC;15/12/2021;1;2.0;2.3;1;Gratuito;3.0;2;Sim;mercado;equipe vendas;
1619;Já sou empresário. E agora?;294;;;Florianópolis;SC;15/12/2021;1;3.0;3.4;1;Gratuito;6.0;2;Sim;pessoas;liderança;
1636;Como gerenciar as finanças da sua empresa;294;;;Florianópolis;SC;15/12/2021;1;1.0;1.1;1;Gratuito;2.0;2;Sim;financeiro;gestão financeira;
1653;Como desenvolver produtos e modelos de negócios inovadores;294;;;Florianópolis;SC;15/12/2021;1;4.0;4.1;1;Gratuito;20.0;2;Sim;produção;processo produtivo;
1670;Planejamento de marketing: ferramentas práticas;294;;;Florianópolis;SC;15/12/2021;1;2.0;2.7;1;Gratuito;6.0;2;Sim;mercado;marketing digital;
1687;Iniciando na importação;294;;;Florianópolis;SC;15/12/2021;1;2.0;2.2;1;Gratuito;3.0;2;Sim;mercado;fornecedores;
1705;Compras governamentais para MPEs;294;;;Florianópolis;SC;15/12/2021;1;2.0;2.4;1;Gratuito;8.0;2;Sim;mercado;vendas;
1722;Inovação e agilidade: o futuro do empreendedorismo;294;;;Florianópolis;SC;15/12/2021;1;4.0;4.4;1;Gratuito;20.0;2;Sim;produção;produtividade;
1740;Sucessão empresarial;294;;;Florianópolis;SC;15/12/2021;1;3.0;3.4;2;Gratuito;3.0;2;Sim;pessoas;liderança;
1756;O despertar do empreendedorismo nas escolas;294;;;Florianópolis;SC;15/12/2021;1;4.0;4.1;1;Gratuito;18.0;2;Sim;produção;processo produtivo;
1757;Viabilidade de Negócios;294;;;Florianópolis;SC;15/12/2021;1;5.0;5.2;1;Gratuito;3.0;1;Sim;estratégia;qual negócio entrar;
1770;Estratégias de vendas para o comércio eletrônico;294;;;Florianópolis;SC;15/12/2021;1;2.0;2.4;1;Gratuito;3.0;2;Sim;mercado;vendas;
1780;Aprenda a planejar as estratégias do seu negócio;294;;;Florianópolis;SC;15/12/2021;1;5.0;5.1;1;Gratuito;3.0;2;Sim;estratégia;expansão;
1793;Customer Success: como conquistar e manter clientes;294;;;Florianópolis;SC;15/12/2021;1;2.0;2.3;1;Gratuito;2.0;Não Definido;Sim;mercado;equipe vendas;
1803;Branding: porque ele é importante para a sua empresa;294;;;Florianópolis;SC;15/12/2021;1;2.0;2.3;1;Gratuito;2.0;2;Sim;mercado;equipe vendas;
1816;Como validar seu modelo de negócio;294;;;Florianópolis;SC;15/12/2021;1;5.0;5.2;1;Gratuito;4.0;2;Sim;estratégia;qual negócio entrar;
1829;Identidade empreendedora;294;;;Florianópolis;SC;15/12/2021;1;3.0;3.4;1;Gratuito;1.0;1;Sim;pessoas;liderança;
1830;Como construir uma loja virtual;294;;;Florianópolis;SC;15/12/2021;1;4.0;4.7;1;Gratuito;2.0;1;Sim;produção;logística venda online;
1843;Gestão empresarial para os desafios do mercado audiovisual;294;;;Florianópolis;SC;15/12/2021;1;1.0;1.1;1;Gratuito;50.0;2;Sim;financeiro;gestão financeira;
1853;Gestão de equipes como diferencial competitivo;294;;;Florianópolis;SC;15/12/2021;1;4.0;4.1;1;Gratuito;3.0;2;Sim;produção;processo produtivo;
1866;Planejamento para inovar: ferramentas;294;;;Florianópolis;SC;15/12/2021;1;4.0;4.1;1;Gratuito;6.0;2;Sim;produção;processo produtivo;
1867;Empreendedorismo como opção de carreira;294;;;Florianópolis;SC;15/12/2021;1;5.0;5.1;1;Gratuito;3.0;1;Sim;estratégia;expansão;
1868;Cultura digital e PBL;294;;;Florianópolis;SC;15/12/2021;1;5.0;5.4;1;Gratuito;10.0;1;Sim;estratégia;processos ti;
1869;Como fazer sua loja virtual em marketplace vender mais;294;;;Florianópolis;SC;15/12/2021;1;4.0;4.7;1;Gratuito;2.0;2;Sim;produção;logística venda online;
1881;Iniciando um pequeno grande negócio;294;;;Florianópolis;SC;15/12/2021;1;5.0;5.2;1;Gratuito;30.0;1;Sim;estratégia;qual negócio entrar;
