Código;;Site;Rua;CEP;Cidade;Estado;CNPJ;Data de início de atividade;
48;IBM;https://www.ibm.com/br-pt/consulting?utm_content=SRCWW&p1=Search&p4=43700067108152615&p5=e&gclid=CjwKCAiAqIKNBhAIEiwAu_ZLDgYrcJT8MUOkyYKIZVXDpX8-mykfpbacox3OXw-id5OJlipPCsGGjRoCWrgQAvD_BwE&gclsrc=aw.ds;;;;;33.372.251/0001-56;31/05/1960;
49;FIA ONLINE;https://www.fiaonline.com.br/pos/consultoria-empresarial;;;;;17.543.049/0001-93;18/01/2013;
50;TOTVS;https://www.totvs.com/consulting/;;;;;53.113.791/0001-22;13/12/1983;
51;BERRY TECH;https://berrytech.com.br/;;;;;23.377.562/0001-54;16/09/2015;
52;MID FALCONI;https://conteudo.midfalconi.com/consultoria-medias-empresas?utm_source=google&utm_medium=cpc&utm_campaign=gh_consultoria&utm_content=gh_ad_response&gclid=CjwKCAiAqIKNBhAIEiwAu_ZLDi_kwL08MM3l6ZdukangxqcHRFZkRGxyP1-i48dVmvIcqaKyFWNvuhoCf04QAvD_BwE;;;;;05.485.279/0001-64;28/01/2003;
53;CONTABILIZEI;https://www.contabilizei.com.br/contabilidade-online/como-abrir-uma-empresa-de-consultoria/;;;;;19.322.789/0001-25;13/11/2013;
54;DYNAMICA CONSULTORIA;https://dynamicaconsultoria.com.br/;;;;;00.400.146/0001-24;18/01/1995;
55;KHANUM;https://www.khanum.com.br/;;;;SC;34.038.526/0001-82;26/06/2019;
56;DOM CONSULTORIA;https://www.domconsultoria.net/ementa;;;;SC;21.718.830/0001-29;21/01/2015;
57;LEGALIZE GROUP;http://legalizegroup.com.br/solucoes/;;;;SC;12.423.332/0001-68;23/08/2010;
58;E-SYSTORE CONSULTORIA;http://www.e-systoreconsultoria.com.br/;;;;SC;16.760.239/0001-08;25/08/2012;
59;FLORENÇA;https://florenca.emp.br/;;;;SC;21.737.858/0001-03;23/01/2015;
60;PRECISA CONSULTORIA;http://www.precisaconsultoria.com.br/;;;;SC;83.061.085/0001-45;02/05/1991;
61;GO ON CONSULTING;https://www.goonconsulting.com.br/;;;;SC;08.431.382/0001-10;13/11/2006;
62;AK GESTAO E RESULTADOS;https://akgestaoeresultados.com.br/quem-somos;;;;SC;28.152.517/0001-15;11/07/2017;
63;SIBROM;https://sibrom.com.br/;;;;SC;15.583.940/0001-28;21/05/2012;
64;Q-ASSIST;https://www.q-assist.com/;;;;SC/SP/DF;59.032.979/0001-22;05/09/1990;
65;CICLO CONSULTORIA;https://www.cicloconsultoria.org.br/;;;;PE;11.040.028/0001-79;04/08/2009;
66;ROCA CONSULTORES;https://rocaconsultores.com.br/;;;Florianópolis;SC;31.166.457/0001-02;09/09/1988;
67;TERRA BECK CONSULTING;https://www.terrabeckconsulting.com.br/;;;;SC;23.019.929/0001-68;06/08/2015;
68;CREDITARE ASSESSORIA;https://www.creditareassessoria.com.br/;;;;SC;18.256.232/0001-70;06/06/2013;
69;ORIZART;https://www.orizart.com.br/;;;;SC;27.665.667/0001-60;05/05/2017;
70;ATHUAR BRASIL;https://www.athuarbrasil.com.br/;;;;SC;04.318.404/0001-89;28/02/2001;
71;WTM DO BRASIL;https://wtmdobrasil.com/;;;;SC;20.711.662/0001-87;24/07/2014;
72;LIBERTA CONSULTORIA;https://libertasconsultoria.com/;;;;RS;14.229.910/0001-55;22/08/2011;
73;ACCESS COMEX BR;http://www.accesscomexbr.com.br/;;;;RS;13.609.085/0001-51;07/04/2011;
74;PLENO DIGITAL;https://plenodigital.com.br/;;;;RS;24.107.596/0001-91;17/12/2015;
