Código,Nome,Site,Rua,CEP,Cidade,Estado,CNPJ,Data de início de atividade,Unnamed: 9,quantidade_de_cursos,preco_medio,preco_std,duracao_media,duracao_std,maturidade_media,prop_online,preco_hora_medio,idade
1,SENAI,cursos.sesisenai.org.br,Rod. Admar Gonzaga 2765,88034-001,Florianópolis,SC,03.774.688/0002-36,2000-05-11,,117,2512.4729059829056,5313.7770361623425,81.78632478632478,121.26532533757474,3.1538461538461537,0.5641025641025641,30.719963423555225,22.432876712328767
2,FUNDAÇÃO DOM CABRAL SP,https://www.fdc.org.br/,Av. Dr. Cardoso de Melo 1.184,04548-004,São Paulo,SP,19.268.267/0003-54,2008-01-09,,6,71186.66666666667,60016.323242560895,517.5,472.7330994687524,4.0,0.0,137.55877616747182,14.764383561643836
3,FUNDAÇÃO DOM CABRAL MG,https://www.fdc.org.br/,Rua Bernardo Guimarães 3.071,30140-083,Belo Horizonte,MG,19.268.267/0001-92,1976-11-04,,4,32500.0,0.0,450.0,0.0,4.0,0.0,72.22222222222223,45.964383561643835
4,FUNDAÇÃO DOM CABRAL MG,https://www.fdc.org.br/,Av. Princesa Diana 760,34018-006,Nova Lima,MG,19.268.267/0001-92,1976-11-04,,10,52250.0,58025.35411352524,250.1,427.4286958078505,4.0,0.4,208.91643342662934,45.964383561643835
5,SENAC,https://www.ead.senac.br/,,,São Paulo,SP,03.709.814/0001-98,2000-01-11,,2471,6127.277988668556,1543.8458914208975,355.566976932416,37.72324974809483,3.9943342776203967,0.013759611493322542,17.232415792744415,22.764383561643836
6,ITC CURSOS E TREINAMENTOS,https://www.itccursosetreinamentos.com.br/,,,Florianópolis,SC,03.016.693/0001-07,1999-03-08,,117,241.07692307692307,62.29103924337533,6.854700854700854,3.0725277248405427,2.1367521367521367,1.0,35.16957605985037,23.610958904109587
7,SEST SENAT,https://www.sestsenat.org.br/,Ed. Clésio Andrade,70070-944,Brasília,DF,73.471.989/0001-95,1993-10-08,,16,0.0,0.0,240.25,167.50652972347078,4.0,1.0,0.0,29.027397260273972
8,PREPARA CURSOS,https://www.prepara.com.br/,Avenida Bady Bassit 4960,,São José do Rio Preto,SP,13.696.742/0001-45,2011-05-24,,11,2626.364545454546,1414.9879202784327,258.3636363636364,133.95540148413897,1.0909090909090908,0.8181818181818182,10.165380014074596,11.391780821917807
9,CDL FLORIANOPOLIS,https://www.cdlflorianopolis.org.br/capacitacao,Rua Felipe Schmidt 679,88010-001,Florianópolis,SC,83.901.660/0001-70,1971-04-30,,63,199.8360655737705,155.25295914160608,7.721311475409836,7.803175367824042,1.5238095238095237,0.4603174603174603,25.881104033970278,51.484931506849314
12,ANHAGUERA,https://www.anhanguera.com/cursos/,,,,,04.310.392/0034-04,2014-01-06,,265,697.4726037735849,395.2271344940655,1114.4150943396226,984.8170682341814,2.8377358490566036,0.720754716981132,0.6258642828118651,8.767123287671232
13,ECONET TREINAMENTO E DESENVOVIMENTO,https://www.econettreinamento.com.br/,Rua Gago Coutinho nº 553,82.510-230,Curitiba ,PR,09.597.887/0001-11,2008-05-19,,11,850.5454545454545,268.4434471122748,8.727272727272727,2.2998382983042758,2.0,0.0,97.45833333333334,14.405479452054795
14,CENOFISCO - CENTRO DE CAPACITAÇÃO PROFISSIONAL,https://cursos.cenofisco.com.br/,Av. Paulista 1.337,01311-200,São Paulo,SP,07.799.454/0001-13,2006-01-04,,117,,,12.034188034188034,7.761323818630079,2.264957264957265,0.8717948717948718,,16.778082191780822
15,CEFIS,https://cefis.com.br/,,,,,20.799.537/0001-70,2014-08-07,,114,21.9,0.0,1.7280701754385965,1.019847664228978,1.587719298245614,1.0,12.673096446700507,8.183561643835617
17,FGV - FUNDAÇÃO GETÚLIO VARGAS,https://portal.fgv.br/,,,,,33.641.663/0001-44,1967-02-16,,51,20015.561764705886,19810.11525004708,222.0392156862745,192.27043462466457,3.9607843137254903,0.6274509803921569,90.14426439420701,55.68767123287671
